name,fabric,color,price,"lengthMeters",occasion,"inStock",image
"Cream Floral Bouquet Churidhar","Cotton","Cream",1290,4,"Casual",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_7994.jpg?raw=true"
"Mauve Embroidered Border Churidhar","Cotton","Mauve",1499,4,"Festive",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_7996.jpg?raw=true"
"Sage Green Floral Churidhar","Cotton","Sage Green",1190,4,"Daily Wear",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_7997.jpg?raw=true"
"Lavender Blossom Churidhar","Cotton","Lavender",1090,4,"Casual",FALSE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_7998.jpg?raw=true"
"Sage Leaf Pattern Churidhar","Cotton","Sage Green",1899,4,"Casual",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_7999.jpg?raw=true"
"Steel Blue Ethnic Churidhar","Cotton","Steel Blue",1699,4,"Festive",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_8002.jpg?raw=true"
"Olive Green Classic Churidhar","Cotton","Olive Green",1399,4,"Daily Wear",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_8003.jpg?raw=true"
"Peach Rose Lace Churidhar","Cotton","Peach",1499,4,"Traditional",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_8006.jpg?raw=true"
"Wine Floral Embroidered Churidhar","Cotton","Wine",1599,4,"Festive",FALSE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_8007.jpg?raw=true"
"Sea Green Neck Embroidered Churidhar","Cotton","Sea Green",2499,4,"Party Wear",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_8009.jpg?raw=true"
"Lavender Floral Border Churidhar","Cotton","Lavender",1199,4,"Daily Wear",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_8010.jpg?raw=true"
"Peach Heavy Lace Churidhar","Cotton","Peach",2799,4,"Wedding",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_8014.jpg?raw=true"
"Light Green Floral Print Churidhar","Cotton","Light Green",1399,4,"Casual",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_8015.jpg?raw=true"
"Grey Floral Print Churidhar","Cotton","Grey",1299,4,"Daily Wear",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_8016.jpg?raw=true"
"Pale Yellow Large Floral Churidhar","Cotton","Pale Yellow",2999,4,"Festive",FALSE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_8017.jpg?raw=true"
"Coffee Gold Print Churidhar","Cotton","Coffee Brown",1099,4,"Casual",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_8018.jpg?raw=true"
"Olive Green Embroidered Churidhar","Cotton","Olive Green",1499,4,"Office Wear",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_8019.png?raw=true"
"Beige Floral Cutwork Churidhar","Cotton","Beige",1599,4,"Traditional",TRUE,"https://github.com/ABHAY200/vylor-be/blob/main/product-images/churidar_8020.png?raw=true"
